CIP_SHORT|CIP_CODE|CIPTitle|Description|CrossReferences|PERKINS|PERKINS_PROGRAM|Groups
16|160499|Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other.|A program that focuses on Slavic languages, literatures, and linguistics not listed above.|NULL|NULL|NULL|Liberal Arts
16|1605|Germanic Languages, Literatures, and Linguistics.|Instructional content for this group of programs is defined in codes 16.0500 - 16.0599.|NULL|NULL|NULL|Liberal Arts
16|160500|Germanic Languages, Literatures, and Linguistics, General.|A general program that focuses on one or more of the Germanic languages of Western, Central, and Northern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business, science/technology, and othe|NULL|NULL|NULL|Liberal Arts
16|160501|German Language and Literature.|A program that focuses on the German language and related dialects. Includes instruction in philology; dialects; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160502|Scandinavian Languages, Literatures, and Linguistics.|A program that focuses on one or more of the languages, literatures, and linguistics of the peoples of Scandinavia and associated Northern European island groups.  Programs may involve multiple languages and language families, not be specific as to the na|NULL|NULL|NULL|Liberal Arts
16|160503|Danish Language and Literature.|A program that focuses on the Danish language and related dialects. Includes instruction in philology; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160504|Dutch/Flemish Language and Literature.|A program that focuses on the Dutch language and related dialects. Includes instruction in philology; literature; Dutch Creoles; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160505|Norwegian Language and Literature.|A program that focuses on the Norwegian language and related dialects. Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160506|Swedish Language and Literature.|A program that focuses on the Swedish language and related dialects. Includes instruction in philology; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160599|Germanic Languages, Literatures, and Linguistics, Other.|Any instructional program in Germanic languages, literatures, and linguistics not listed above.|NULL|NULL|NULL|Liberal Arts
16|1606|Modern Greek Language and Literature.|Instructional content is defined in code 16.0601.|NULL|NULL|NULL|Liberal Arts
16|160601|Modern Greek Language and Literature.|A program that focuses on the development and use of the Greek language in the period dating from the late 15th century to the present.  Includes instruction in modern Greek literature, current Greek dialects, and applications to business, science/technol|NULL|NULL|NULL|Liberal Arts
16|1607|South Asian Languages, Literatures, and Linguistics.|Instructional content for this group of programs is defined in codes 16.0700 - 16.0799.|NULL|NULL|NULL|Liberal Arts
16|160700|South Asian Languages, Literatures, and Linguistics, General.|A general program that focuses on one or more of the languages, literatures, and linguistics of the peoples of the Indian subcontinent and associated borderlands and island groups.|NULL|NULL|NULL|Liberal Arts
16|160701|Hindi Language and Literature.|A program that focuses on the Hindi language, antecessors, and related dialects. Includes instruction in philology; Modern Hindi; Hindustani; related dialects; and applications in business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160702|Sanskrit and Classical Indian Languages, Literatures, and Linguistics.|A program that focuses on Sanskrit and related ancient and classical Indo-Aryan languages.  Includes instruction in Vedic and Classical Sanskrit, Pali and other Prakrits, and the historical development of Indo-Aryan languages and their relation to Indo-Eu|NULL|NULL|NULL|Liberal Arts
16|160704|Bengali Language and Literature.|A program that focuses on the Bengali language (Bangla) and related dialects. Includes instruction in philology; dialects; and applications in business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160705|Punjabi Language and Literature.|A program that focuses on the Punjabi language (Punjabi) and related dialects. Includes instruction in philology; dialects; and applications in business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160706|Tamil Language and Literature.|A program that focuses on the Tamil language and related dialects. Includes instruction in philology; Classical and Modern Tamil; dialects; and applications in business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160707|Urdu Language and Literature.|A program that focuses on the Urdu language and related dialects. Includes instruction in philology; Modern Urdu; dialects; and applications in business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160799|South Asian Languages, Literatures, and Linguistics, Other.|Any instructional program in South Asian languages, literatures, and linguistics not listed above.|NULL|NULL|NULL|Liberal Arts
16|1608|Iranian/Persian Languages, Literatures, and Linguistics.|Instructional content is defined in code 16.0801.|NULL|NULL|NULL|Liberal Arts
16|160801|Iranian Languages, Literatures, and Linguistics.|A program that focuses on the languages used in ancient, medieval, and modern Iran and its border regions, including modern Persian, Avestan/Old Persian, and related modern and extinct languages. Includes instruction in applications of modern Persian and |NULL|NULL|NULL|Liberal Arts
16|1609|Romance Languages, Literatures, and Linguistics.|Instructional content for this group of programs is defined in codes 16.0900 - 16.0999.|NULL|NULL|NULL|Liberal Arts
16|160900|Romance Languages, Literatures, and Linguistics, General.|A general program that focuses on one or more of the Romance languages of Western, Central, and Southern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business, science/technology, and other|NULL|NULL|NULL|Liberal Arts
16|160901|French Language and Literature.|A program that focuses on the French language and related dialects and creoles. Includes instruction in philology; Metropolitan French; Canadian French; African and Caribbean Creoles; dialects; and applications in business, science/technology, and other s|NULL|NULL|NULL|Liberal Arts
